Xid, State, StartTime, EndTime, TransactionTime, ExecuteTime, CallRMTime, CommunicationTime, ReadTime, WriteTime, DBTime
1, 1, 1636484673108, 1636484673989, 881, 497, 545, 384, 0, 18, 18
2, 1, 1636484674073, 1636484674739, 666, 268, 354, 398, 0, 1, 1
3, 1, 1636484674782, 1636484675439, 657, 264, 350, 393, 0, 0, 0
4, 1, 1636484675486, 1636484676143, 657, 265, 350, 392, 0, 1, 1
5, 1, 1636484676186, 1636484676855, 669, 268, 357, 401, 0, 0, 0
6, 1, 1636484676898, 1636484677559, 661, 271, 358, 390, 0, 0, 0
7, 1, 1636484677602, 1636484678263, 661, 271, 358, 390, 0, 1, 1
8, 1, 1636484678306, 1636484678967, 661, 271, 358, 390, 0, 0, 0
9, 1, 1636484679009, 1636484679659, 650, 263, 351, 387, 0, 0, 0
10, 1, 1636484679702, 1636484680351, 649, 259, 347, 390, 0, 0, 0
11, 1, 1636484680394, 1636484681039, 645, 264, 347, 381, 0, 0, 0
12, 1, 1636484681082, 1636484681739, 657, 271, 359, 386, 0, 1, 1
13, 1, 1636484681782, 1636484682427, 645, 261, 344, 384, 0, 1, 1
14, 1, 1636484682473, 1636484683127, 654, 264, 352, 390, 0, 0, 0
15, 1, 1636484683170, 1636484683815, 645, 263, 347, 382, 0, 1, 1
16, 1, 1636484683859, 1636484684519, 660, 272, 355, 388, 0, 1, 1
17, 1, 1636484684561, 1636484685215, 654, 268, 351, 386, 0, 0, 0
18, 1, 1636484685217, 1636484685823, 606, 261, 349, 345, 0, 1, 1
19, 1, 1636484685825, 1636484686431, 606, 260, 349, 346, 0, 0, 0
20, 1, 1636484686433, 1636484687043, 610, 266, 353, 344, 0, 1, 1
21, 1, 1636484687045, 1636484687659, 614, 269, 358, 345, 0, 0, 0
22, 1, 1636484687660, 1636484688267, 607, 266, 350, 341, 0, 0, 0
23, 1, 1636484688268, 1636484688871, 603, 262, 346, 341, 0, 1, 1
24, 1, 1636484688873, 1636484689483, 610, 261, 350, 349, 0, 0, 0
25, 1, 1636484689484, 1636484690099, 615, 272, 357, 343, 0, 0, 0
26, 1, 1636484690101, 1636484690707, 606, 260, 349, 346, 0, 0, 0
27, 1, 1636484690709, 1636484691315, 606, 265, 349, 341, 0, 1, 1
28, 1, 1636484691317, 1636484691923, 606, 261, 350, 345, 0, 1, 1
29, 1, 1636484691925, 1636484692531, 606, 265, 349, 341, 0, 0, 0
30, 1, 1636484692533, 1636484693135, 602, 261, 345, 341, 0, 1, 1
31, 1, 1636484693137, 1636484693743, 606, 261, 349, 345, 0, 0, 0
32, 1, 1636484693745, 1636484694355, 610, 262, 349, 348, 0, 0, 0
33, 1, 1636484694357, 1636484694959, 602, 262, 345, 340, 0, 1, 1
34, 1, 1636484694961, 1636484695563, 602, 262, 347, 340, 0, 0, 0
35, 1, 1636484695564, 1636484696167, 603, 261, 345, 342, 0, 1, 1
36, 1, 1636484696169, 1636484696771, 602, 262, 345, 340, 0, 1, 1
37, 1, 1636484696772, 1636484697375, 603, 261, 345, 342, 0, 1, 1
38, 1, 1636484697376, 1636484697983, 607, 259, 348, 348, 0, 1, 1
39, 1, 1636484697984, 1636484698587, 603, 262, 346, 341, 0, 0, 0
40, 1, 1636484698589, 1636484699191, 602, 262, 346, 340, 0, 1, 1
41, 1, 1636484699192, 1636484699795, 603, 260, 346, 343, 0, 0, 0
42, 1, 1636484699797, 1636484700399, 602, 261, 345, 341, 0, 1, 1
43, 1, 1636484700401, 1636484701007, 606, 265, 349, 341, 0, 1, 1
44, 1, 1636484701009, 1636484701611, 602, 261, 345, 341, 0, 1, 1
45, 1, 1636484701612, 1636484702215, 603, 261, 346, 342, 0, 0, 0
46, 1, 1636484702217, 1636484702819, 602, 261, 347, 341, 0, 0, 0
